n,f(x),x,p,||p||,gradient,||gradient||,alpha,k,eps
65,-160.2479,[6.2812 -6.3512 ],[0.0484 -0.0657 ],0.0816,[-6.2535 8.4818 ],10.5378,0.0077,127,0.0001
66,-161.0822,[6.3296 -6.4168 ],[0.0645 -0.0478 ],0.0803,[-8.3301 6.1770 ],10.3704,0.0077,127,0.0001
67,-161.8908,[6.3941 -6.4647 ],[0.0472 -0.0633 ],0.0790,[-6.1009 8.1815 ],10.2058,0.0077,127,0.0001
68,-162.6745,[6.4413 -6.5280 ],[0.0622 -0.0466 ],0.0778,[-8.0359 6.0254 ],10.0440,0.0077,127,0.0001
69,-163.4342,[6.5035 -6.5746 ],[0.0461 -0.0611 ],0.0765,[-5.9505 7.8932 ],9.8849,0.0077,127,0.0001
70,-164.1705,[6.5496 -6.6357 ],[0.0600 -0.0455 ],0.0753,[-7.7533 5.8761 ],9.7284,0.0077,127,0.0001
71,-164.8841,[6.6096 -6.6812 ],[0.0449 -0.0590 ],0.0741,[-5.8022 7.6161 ],9.5745,0.0077,127,0.0001
72,-165.5759,[6.6545 -6.7402 ],[0.0579 -0.0443 ],0.0729,[-7.4817 5.7289 ],9.4231,0.0077,127,0.0001
73,-166.2463,[6.7125 -6.7845 ],[0.0438 -0.0569 ],0.0718,[-5.6562 7.3499 ],9.2743,0.0077,127,0.0001
74,-166.8962,[6.7562 -6.8414 ],[0.0559 -0.0432 ],0.0707,[-7.2206 5.5840 ],9.1279,0.0077,127,0.0001
75,-167.5261,[6.8121 -6.8847 ],[0.0427 -0.0549 ],0.0695,[-5.5125 7.0939 ],8.9839,0.0077,127,0.0001
76,-168.1366,[6.8548 -6.9396 ],[0.0540 -0.0421 ],0.0685,[-6.9697 5.4415 ],8.8423,0.0077,127,0.0001
77,-168.7284,[6.9088 -6.9817 ],[0.0416 -0.0530 ],0.0674,[-5.3712 6.8478 ],8.7030,0.0077,127,0.0001
78,-169.3020,[6.9504 -7.0347 ],[0.0521 -0.0410 ],0.0663,[-6.7284 5.3015 ],8.5660,0.0077,127,0.0001
79,-169.8579,[7.0024 -7.0758 ],[0.0405 -0.0512 ],0.0653,[-5.2324 6.6112 ],8.4313,0.0077,127,0.0001
80,-170.3968,[7.0429 -7.1269 ],[0.0503 -0.0400 ],0.0642,[-6.4963 5.1640 ],8.2987,0.0077,127,0.0001
81,-170.9191,[7.0932 -7.1669 ],[0.0395 -0.0494 ],0.0632,[-5.0962 6.3835 ],8.1683,0.0077,127,0.0001
82,-171.4253,[7.1327 -7.2163 ],[0.0486 -0.0389 ],0.0622,[-6.2730 5.0290 ],8.0400,0.0077,127,0.0001
83,-171.9160,[7.1812 -7.2553 ],[0.0384 -0.0477 ],0.0613,[-4.9625 6.1645 ],7.9138,0.0077,127,0.0001
84,-172.3916,[7.2197 -7.3030 ],[0.0469 -0.0379 ],0.0603,[-6.0581 4.8966 ],7.7896,0.0077,127,0.0001
85,-172.8526,[7.2666 -7.3409 ],[0.0374 -0.0461 ],0.0594,[-4.8314 5.9537 ],7.6674,0.0077,127,0.0001
86,-173.2995,[7.3040 -7.3870 ],[0.0453 -0.0369 ],0.0584,[-5.8513 4.7668 ],7.5472,0.0077,127,0.0001
87,-173.7325,[7.3493 -7.4239 ],[0.0364 -0.0445 ],0.0575,[-4.7029 5.7509 ],7.4290,0.0077,127,0.0001
88,-174.1523,[7.3857 -7.4684 ],[0.0438 -0.0359 ],0.0566,[-5.6523 4.6396 ],7.3126,0.0077,127,0.0001
89,-174.5592,[7.4294 -7.5043 ],[0.0354 -0.0430 ],0.0557,[-4.5770 5.5555 ],7.1981,0.0077,127,0.0001
90,-174.9536,[7.4649 -7.5473 ],[0.0423 -0.0350 ],0.0549,[-5.4606 4.5151 ],7.0855,0.0077,127,0.0001
91,-175.3359,[7.5071 -7.5823 ],[0.0345 -0.0416 ],0.0540,[-4.4538 5.3674 ],6.9746,0.0077,127,0.0001
92,-175.7064,[7.5416 -7.6238 ],[0.0408 -0.0340 ],0.0531,[-5.2760 4.3931 ],6.8656,0.0077,127,0.0001
