n,f(x),x,p,||p||,gradient,||gradient||,alpha,eps
150,-9.8260,[-1.8114 2.3680 ],[-0.0060 0.0077 ],0.0097,[0.6039 -0.7734 ],0.9812,0.0099,0.0001
151,-9.8355,[-1.8173 2.3757 ],[-0.0059 0.0076 ],0.0096,[0.5986 -0.7667 ],0.9727,0.0099,0.0001
152,-9.8448,[-1.8233 2.3832 ],[-0.0059 0.0075 ],0.0095,[0.5934 -0.7601 ],0.9643,0.0099,0.0001
153,-9.8540,[-1.8291 2.3908 ],[-0.0058 0.0075 ],0.0095,[0.5883 -0.7535 ],0.9559,0.0099,0.0001
154,-9.8630,[-1.8350 2.3982 ],[-0.0058 0.0074 ],0.0094,[0.5832 -0.7469 ],0.9476,0.0099,0.0001
155,-9.8718,[-1.8407 2.4056 ],[-0.0057 0.0073 ],0.0093,[0.5781 -0.7404 ],0.9394,0.0099,0.0001
156,-9.8805,[-1.8464 2.4129 ],[-0.0057 0.0073 ],0.0092,[0.5731 -0.7340 ],0.9312,0.0099,0.0001
157,-9.8891,[-1.8521 2.4202 ],[-0.0056 0.0072 ],0.0091,[0.5681 -0.7276 ],0.9232,0.0099,0.0001
158,-9.8975,[-1.8577 2.4274 ],[-0.0056 0.0071 ],0.0091,[0.5632 -0.7213 ],0.9152,0.0099,0.0001
159,-9.9057,[-1.8633 2.4345 ],[-0.0055 0.0071 ],0.0090,[0.5583 -0.7151 ],0.9072,0.0099,0.0001
160,-9.9138,[-1.8688 2.4416 ],[-0.0055 0.0070 ],0.0089,[0.5535 -0.7089 ],0.8993,0.0099,0.0001
161,-9.9218,[-1.8743 2.4486 ],[-0.0054 0.0070 ],0.0088,[0.5487 -0.7027 ],0.8915,0.0099,0.0001
162,-9.9296,[-1.8797 2.4556 ],[-0.0054 0.0069 ],0.0087,[0.5439 -0.6966 ],0.8838,0.0099,0.0001
163,-9.9373,[-1.8851 2.4625 ],[-0.0053 0.0068 ],0.0087,[0.5392 -0.6906 ],0.8761,0.0099,0.0001
164,-9.9449,[-1.8905 2.4693 ],[-0.0053 0.0068 ],0.0086,[0.5345 -0.6846 ],0.8685,0.0099,0.0001
165,-9.9523,[-1.8957 2.4761 ],[-0.0052 0.0067 ],0.0085,[0.5299 -0.6786 ],0.8610,0.0099,0.0001
166,-9.9596,[-1.9010 2.4828 ],[-0.0052 0.0067 ],0.0084,[0.5253 -0.6727 ],0.8535,0.0099,0.0001
167,-9.9668,[-1.9062 2.4895 ],[-0.0052 0.0066 ],0.0084,[0.5207 -0.6669 ],0.8461,0.0099,0.0001
168,-9.9738,[-1.9113 2.4961 ],[-0.0051 0.0065 ],0.0083,[0.5162 -0.6611 ],0.8388,0.0099,0.0001
169,-9.9808,[-1.9165 2.5026 ],[-0.0051 0.0065 ],0.0082,[0.5117 -0.6554 ],0.8315,0.0099,0.0001
170,-9.9876,[-1.9215 2.5091 ],[-0.0050 0.0064 ],0.0082,[0.5073 -0.6497 ],0.8243,0.0099,0.0001
171,-9.9943,[-1.9265 2.5155 ],[-0.0050 0.0064 ],0.0081,[0.5029 -0.6441 ],0.8171,0.0099,0.0001
172,-10.0009,[-1.9315 2.5219 ],[-0.0049 0.0063 ],0.0080,[0.4985 -0.6385 ],0.8100,0.0099,0.0001
173,-10.0073,[-1.9364 2.5282 ],[-0.0049 0.0063 ],0.0079,[0.4942 -0.6329 ],0.8030,0.0099,0.0001
174,-10.0137,[-1.9413 2.5345 ],[-0.0048 0.0062 ],0.0079,[0.4899 -0.6274 ],0.7960,0.0099,0.0001
175,-10.0199,[-1.9462 2.5407 ],[-0.0048 0.0062 ],0.0078,[0.4856 -0.6220 ],0.7891,0.0099,0.0001
