n,f(x),x,p,||p||,gradient,||gradient||,alpha,eps
65,-7.9877,[-1.0640 1.4107 ],[-0.0126 0.0161 ],0.0205,[1.2588 -1.6132 ],2.0462,0.0100,0.0001
66,-8.0293,[-1.0766 1.4269 ],[-0.0125 0.0160 ],0.0203,[1.2478 -1.5990 ],2.0282,0.0100,0.0001
67,-8.0703,[-1.0891 1.4428 ],[-0.0124 0.0158 ],0.0201,[1.2369 -1.5850 ],2.0105,0.0100,0.0001
68,-8.1105,[-1.1015 1.4587 ],[-0.0123 0.0157 ],0.0199,[1.2261 -1.5710 ],1.9928,0.0100,0.0001
69,-8.1501,[-1.1137 1.4744 ],[-0.0122 0.0156 ],0.0198,[1.2153 -1.5572 ],1.9754,0.0100,0.0001
70,-8.1889,[-1.1259 1.4900 ],[-0.0120 0.0154 ],0.0196,[1.2047 -1.5436 ],1.9580,0.0100,0.0001
71,-8.2271,[-1.1379 1.5054 ],[-0.0119 0.0153 ],0.0194,[1.1942 -1.5300 ],1.9409,0.0100,0.0001
72,-8.2646,[-1.1499 1.5207 ],[-0.0118 0.0152 ],0.0192,[1.1837 -1.5166 ],1.9238,0.0100,0.0001
73,-8.3015,[-1.1617 1.5359 ],[-0.0117 0.0150 ],0.0191,[1.1734 -1.5033 ],1.9070,0.0100,0.0001
74,-8.3377,[-1.1734 1.5509 ],[-0.0116 0.0149 ],0.0189,[1.1631 -1.4901 ],1.8903,0.0100,0.0001
75,-8.3732,[-1.1851 1.5658 ],[-0.0115 0.0148 ],0.0187,[1.1529 -1.4770 ],1.8737,0.0100,0.0001
76,-8.4082,[-1.1966 1.5806 ],[-0.0114 0.0146 ],0.0186,[1.1428 -1.4640 ],1.8572,0.0100,0.0001
77,-8.4425,[-1.2080 1.5952 ],[-0.0113 0.0145 ],0.0184,[1.1328 -1.4512 ],1.8410,0.0100,0.0001
78,-8.4763,[-1.2193 1.6097 ],[-0.0112 0.0144 ],0.0182,[1.1229 -1.4384 ],1.8248,0.0100,0.0001
79,-8.5094,[-1.2306 1.6241 ],[-0.0111 0.0143 ],0.0181,[1.1130 -1.4258 ],1.8088,0.0100,0.0001
80,-8.5420,[-1.2417 1.6384 ],[-0.0110 0.0141 ],0.0179,[1.1033 -1.4133 ],1.7930,0.0100,0.0001
81,-8.5740,[-1.2527 1.6525 ],[-0.0109 0.0140 ],0.0178,[1.0936 -1.4009 ],1.7772,0.0100,0.0001
82,-8.6055,[-1.2637 1.6665 ],[-0.0108 0.0139 ],0.0176,[1.0840 -1.3886 ],1.7616,0.0100,0.0001
83,-8.6364,[-1.2745 1.6804 ],[-0.0107 0.0138 ],0.0175,[1.0745 -1.3764 ],1.7462,0.0100,0.0001
84,-8.6667,[-1.2853 1.6942 ],[-0.0107 0.0136 ],0.0173,[1.0651 -1.3644 ],1.7309,0.0100,0.0001
85,-8.6965,[-1.2959 1.7078 ],[-0.0106 0.0135 ],0.0172,[1.0558 -1.3524 ],1.7157,0.0100,0.0001
86,-8.7259,[-1.3065 1.7213 ],[-0.0105 0.0134 ],0.0170,[1.0465 -1.3405 ],1.7007,0.0100,0.0001
87,-8.7546,[-1.3169 1.7347 ],[-0.0104 0.0133 ],0.0169,[1.0374 -1.3288 ],1.6858,0.0100,0.0001
88,-8.7829,[-1.3273 1.7480 ],[-0.0103 0.0132 ],0.0167,[1.0283 -1.3171 ],1.6710,0.0100,0.0001
89,-8.8107,[-1.3376 1.7612 ],[-0.0102 0.0131 ],0.0166,[1.0193 -1.3056 ],1.6563,0.0100,0.0001
90,-8.8381,[-1.3478 1.7743 ],[-0.0101 0.0129 ],0.0164,[1.0103 -1.2941 ],1.6418,0.0100,0.0001
91,-8.8649,[-1.3579 1.7872 ],[-0.0100 0.0128 ],0.0163,[1.0015 -1.2828 ],1.6274,0.0100,0.0001
92,-8.8913,[-1.3679 1.8000 ],[-0.0099 0.0127 ],0.0161,[0.9927 -1.2715 ],1.6131,0.0100,0.0001
93,-8.9172,[-1.3778 1.8127 ],[-0.0098 0.0126 ],0.0160,[0.9840 -1.2603 ],1.5990,0.0100,0.0001
94,-8.9426,[-1.3877 1.8253 ],[-0.0098 0.0125 ],0.0158,[0.9754 -1.2493 ],1.5850,0.0100,0.0001
95,-8.9676,[-1.3974 1.8378 ],[-0.0097 0.0124 ],0.0157,[0.9668 -1.2383 ],1.5711,0.0100,0.0001
96,-8.9922,[-1.4071 1.8502 ],[-0.0096 0.0123 ],0.0156,[0.9583 -1.2275 ],1.5573,0.0100,0.0001
97,-9.0163,[-1.4167 1.8625 ],[-0.0095 0.0122 ],0.0154,[0.9499 -1.2167 ],1.5436,0.0100,0.0001
98,-9.0401,[-1.4262 1.8747 ],[-0.0094 0.0121 ],0.0153,[0.9416 -1.2060 ],1.5301,0.0100,0.0001
99,-9.0634,[-1.4356 1.8867 ],[-0.0093 0.0120 ],0.0152,[0.9334 -1.1955 ],1.5167,0.0100,0.0001
100,-9.0863,[-1.4449 1.8987 ],[-0.0093 0.0118 ],0.0150,[0.9252 -1.1850 ],1.5034,0.0100,0.0001
101,-9.1088,[-1.4542 1.9105 ],[-0.0092 0.0117 ],0.0149,[0.9171 -1.1746 ],1.4902,0.0100,0.0001
102,-9.1309,[-1.4633 1.9223 ],[-0.0091 0.0116 ],0.0148,[0.9090 -1.1643 ],1.4771,0.0100,0.0001
103,-9.1526,[-1.4724 1.9339 ],[-0.0090 0.0115 ],0.0146,[0.9011 -1.1541 ],1.4642,0.0100,0.0001
104,-9.1740,[-1.4814 1.9455 ],[-0.0089 0.0114 ],0.0145,[0.8932 -1.1440 ],1.4513,0.0100,0.0001
105,-9.1949,[-1.4904 1.9569 ],[-0.0089 0.0113 ],0.0144,[0.8853 -1.1339 ],1.4386,0.0100,0.0001
106,-9.2155,[-1.4992 1.9682 ],[-0.0088 0.0112 ],0.0143,[0.8776 -1.1240 ],1.4260,0.0100,0.0001
107,-9.2358,[-1.5080 1.9795 ],[-0.0087 0.0111 ],0.0141,[0.8699 -1.1141 ],1.4135,0.0100,0.0001
108,-9.2557,[-1.5167 1.9906 ],[-0.0086 0.0110 ],0.0140,[0.8622 -1.1044 ],1.4011,0.0100,0.0001
109,-9.2752,[-1.5253 2.0017 ],[-0.0085 0.0109 ],0.0139,[0.8547 -1.0947 ],1.3888,0.0100,0.0001
110,-9.2944,[-1.5339 2.0126 ],[-0.0085 0.0109 ],0.0138,[0.8472 -1.0851 ],1.3766,0.0100,0.0001
111,-9.3133,[-1.5423 2.0235 ],[-0.0084 0.0108 ],0.0136,[0.8398 -1.0756 ],1.3646,0.0100,0.0001
112,-9.3318,[-1.5507 2.0342 ],[-0.0083 0.0107 ],0.0135,[0.8324 -1.0661 ],1.3526,0.0100,0.0001
113,-9.3500,[-1.5591 2.0449 ],[-0.0083 0.0106 ],0.0134,[0.8251 -1.0568 ],1.3407,0.0100,0.0001
114,-9.3679,[-1.5673 2.0554 ],[-0.0082 0.0105 ],0.0133,[0.8179 -1.0475 ],1.3290,0.0100,0.0001
115,-9.3855,[-1.5755 2.0659 ],[-0.0081 0.0104 ],0.0132,[0.8107 -1.0383 ],1.3173,0.0100,0.0001
116,-9.4028,[-1.5836 2.0763 ],[-0.0080 0.0103 ],0.0131,[0.8036 -1.0292 ],1.3058,0.0100,0.0001
117,-9.4198,[-1.5916 2.0866 ],[-0.0080 0.0102 ],0.0129,[0.7965 -1.0202 ],1.2943,0.0100,0.0001
118,-9.4365,[-1.5996 2.0968 ],[-0.0079 0.0101 ],0.0128,[0.7896 -1.0112 ],1.2830,0.0100,0.0001
119,-9.4528,[-1.6075 2.1069 ],[-0.0078 0.0100 ],0.0127,[0.7826 -1.0024 ],1.2717,0.0100,0.0001
120,-9.4689,[-1.6153 2.1169 ],[-0.0078 0.0099 ],0.0126,[0.7758 -0.9936 ],1.2606,0.0100,0.0001
