n,f(x),x,p,||p||,gradient,||gradient||,alpha,eps
67,-9.0625,[-1.4352 1.8863 ],[-0.9337 1.1959 ],1.5172,[0.9337 -1.1959 ],1.5172,0.0099,0.0001
68,-9.0852,[-1.4445 1.8981 ],[-1.8431 2.3607 ],2.9950,[0.9256 -1.1855 ],1.5040,0.0099,0.0001
69,-9.1294,[-1.4627 1.9215 ],[-0.9096 1.1650 ],1.4780,[0.9096 -1.1650 ],1.4780,0.0099,0.0001
70,-9.1509,[-1.4717 1.9330 ],[-1.7956 2.2997 ],2.9177,[0.9017 -1.1549 ],1.4652,0.0099,0.0001
71,-9.1928,[-1.4895 1.9557 ],[-0.8861 1.1349 ],1.4399,[0.8861 -1.1349 ],1.4399,0.0099,0.0001
72,-9.2133,[-1.4982 1.9670 ],[-1.7492 2.2404 ],2.8424,[0.8784 -1.1251 ],1.4274,0.0099,0.0001
73,-9.2531,[-1.5156 1.9891 ],[-0.8632 1.1056 ],1.4027,[0.8632 -1.1056 ],1.4027,0.0099,0.0001
74,-9.2725,[-1.5241 2.0001 ],[-1.7041 2.1826 ],2.7690,[0.8558 -1.0960 ],1.3905,0.0099,0.0001
75,-9.3102,[-1.5410 2.0217 ],[-0.8410 1.0771 ],1.3665,[0.8410 -1.0771 ],1.3665,0.0099,0.0001
76,-9.3286,[-1.5493 2.0323 ],[-1.6601 2.1262 ],2.6976,[0.8337 -1.0678 ],1.3547,0.0099,0.0001
77,-9.3645,[-1.5657 2.0534 ],[-0.8193 1.0493 ],1.3313,[0.8193 -1.0493 ],1.3313,0.0099,0.0001
78,-9.3819,[-1.5738 2.0638 ],[-1.6173 2.0714 ],2.6280,[0.8122 -1.0402 ],1.3197,0.0099,0.0001
79,-9.4160,[-1.5898 2.0843 ],[-0.7981 1.0222 ],1.2969,[0.7981 -1.0222 ],1.2969,0.0099,0.0001
80,-9.4325,[-1.5977 2.0944 ],[-1.5755 2.0179 ],2.5601,[0.7912 -1.0134 ],1.2856,0.0099,0.0001
81,-9.4648,[-1.6133 2.1144 ],[-0.7775 0.9958 ],1.2634,[0.7775 -0.9958 ],1.2634,0.0099,0.0001
82,-9.4806,[-1.6210 2.1242 ],[-1.5349 1.9658 ],2.4941,[0.7708 -0.9872 ],1.2525,0.0099,0.0001
83,-9.5112,[-1.6362 2.1437 ],[-0.7575 0.9701 ],1.2308,[0.7575 -0.9701 ],1.2308,0.0099,0.0001
84,-9.5261,[-1.6437 2.1533 ],[-1.4953 1.9151 ],2.4297,[0.7509 -0.9617 ],1.2201,0.0099,0.0001
85,-9.5552,[-1.6585 2.1722 ],[-0.7379 0.9451 ],1.1991,[0.7379 -0.9451 ],1.1991,0.0099,0.0001
86,-9.5694,[-1.6658 2.1816 ],[-1.4567 1.8657 ],2.3670,[0.7315 -0.9369 ],1.1887,0.0099,0.0001
87,-9.5970,[-1.6802 2.2000 ],[-0.7189 0.9207 ],1.1681,[0.7189 -0.9207 ],1.1681,0.0099,0.0001
88,-9.6104,[-1.6873 2.2091 ],[-1.4191 1.8175 ],2.3059,[0.7126 -0.9127 ],1.1580,0.0099,0.0001
89,-9.6366,[-1.7014 2.2271 ],[-0.7003 0.8970 ],1.1380,[0.7003 -0.8970 ],1.1380,0.0099,0.0001
90,-9.6494,[-1.7083 2.2360 ],[-1.3825 1.7706 ],2.2464,[0.6942 -0.8892 ],1.1281,0.0099,0.0001
91,-9.6742,[-1.7220 2.2535 ],[-0.6822 0.8738 ],1.1086,[0.6822 -0.8738 ],1.1086,0.0099,0.0001
92,-9.6863,[-1.7287 2.2622 ],[-1.3468 1.7249 ],2.1884,[0.6763 -0.8662 ],1.0990,0.0099,0.0001
93,-9.7099,[-1.7421 2.2792 ],[-0.6646 0.8513 ],1.0800,[0.6646 -0.8513 ],1.0800,0.0099,0.0001
94,-9.7214,[-1.7486 2.2877 ],[-1.3120 1.6804 ],2.1319,[0.6589 -0.8439 ],1.0706,0.0099,0.0001
95,-9.7438,[-1.7616 2.3043 ],[-0.6475 0.8293 ],1.0521,[0.6475 -0.8293 ],1.0521,0.0099,0.0001
96,-9.7547,[-1.7680 2.3125 ],[-1.2782 1.6370 ],2.0769,[0.6419 -0.8221 ],1.0430,0.0099,0.0001
97,-9.7760,[-1.7807 2.3287 ],[-0.6308 0.8079 ],1.0250,[0.6308 -0.8079 ],1.0250,0.0099,0.0001
98,-9.7863,[-1.7869 2.3367 ],[-1.2452 1.5948 ],2.0233,[0.6253 -0.8009 ],1.0161,0.0099,0.0001
99,-9.8065,[-1.7992 2.3525 ],[-0.6145 0.7870 ],0.9985,[0.6145 -0.7870 ],0.9985,0.0099,0.0001
100,-9.8163,[-1.8053 2.3603 ],[-1.2130 1.5536 ],1.9711,[0.6092 -0.7802 ],0.9898,0.0099,0.0001
101,-9.8355,[-1.8173 2.3756 ],[-0.5986 0.7667 ],0.9727,[0.5986 -0.7667 ],0.9727,0.0099,0.0001
102,-9.8448,[-1.8232 2.3832 ],[-1.1817 1.5135 ],1.9202,[0.5934 -0.7601 ],0.9643,0.0099,0.0001
103,-9.8630,[-1.8349 2.3982 ],[-0.5832 0.7469 ],0.9476,[0.5832 -0.7469 ],0.9476,0.0099,0.0001
