n,f(x),x,p,||p||,gradient,||gradient||,alpha,k,eps
64,-176.6449,[7.6547 -7.7139 ],[9.1393 -9.1658 ],12.9437,[-2.1520 7.1107 ],7.4292,0.0077,127,0.0001
65,-177.2917,[7.7255 -7.7849 ],[2.0363 -6.9429 ],7.2353,[-2.0363 6.9429 ],7.2353,0.0077,127,0.0001
66,-177.6029,[7.7412 -7.8387 ],[8.7478 -8.7223 ],12.3533,[-6.7907 2.0495 ],7.0932,0.0077,127,0.0001
67,-178.1920,[7.8090 -7.9062 ],[6.6304 -1.9393 ],6.9082,[-6.6304 1.9393 ],6.9082,0.0077,127,0.0001
68,-178.4755,[7.8603 -7.9212 ],[8.3244 -8.3488 ],11.7897,[-1.9521 6.4850 ],6.7724,0.0077,127,0.0001
69,-179.0121,[7.9247 -7.9858 ],[1.8470 -6.3319 ],6.5958,[-1.8470 6.3319 ],6.5958,0.0077,127,0.0001
70,-179.2704,[7.9390 -8.0348 ],[7.9681 -7.9446 ],11.2519,[-6.1930 1.8593 ],6.4660,0.0077,127,0.0001
71,-179.7591,[8.0007 -8.0963 ],[6.0467 -1.7592 ],6.2974,[-6.0467 1.7592 ],6.2974,0.0077,127,0.0001
72,-179.9943,[8.0475 -8.1100 ],[7.5821 -7.6047 ],10.7387,[-1.7710 5.9140 ],6.1735,0.0077,127,0.0001
73,-180.4395,[8.1062 -8.1688 ],[1.6756 -5.7743 ],6.0125,[-1.6756 5.7743 ],6.0125,0.0077,127,0.0001
74,-180.6538,[8.1192 -8.2135 ],[7.2578 -7.2362 ],10.2488,[-5.6475 1.6871 ],5.8941,0.0077,127,0.0001
75,-181.0593,[8.1754 -8.2695 ],[5.5140 -1.5961 ],5.7404,[-5.5140 1.5961 ],5.7404,0.0077,127,0.0001
76,-181.2545,[8.2181 -8.2819 ],[6.9061 -6.9268 ],9.7813,[-1.6071 5.3930 ],5.6273,0.0077,127,0.0001
77,-181.6238,[8.2715 -8.3355 ],[1.5204 -5.2655 ],5.4806,[-1.5204 5.2655 ],5.4806,0.0077,127,0.0001
78,-181.8016,[8.2833 -8.3763 ],[6.6109 -6.5910 ],9.3352,[-5.1498 1.5310 ],5.3726,0.0077,127,0.0001
79,-182.1381,[8.3345 -8.4273 ],[5.0280 -1.4484 ],5.2325,[-5.0280 1.4484 ],5.2325,0.0077,127,0.0001
80,-182.3000,[8.3734 -8.4385 ],[6.2903 -6.3094 ],8.9094,[-1.4586 4.9176 ],5.1293,0.0077,127,0.0001
81,-182.6064,[8.4221 -8.4874 ],[1.3798 -4.8012 ],4.9956,[-1.3798 4.8012 ],4.9956,0.0077,127,0.0001
82,-182.7539,[8.4328 -8.5245 ],[6.0217 -6.0033 ],8.5030,[-4.6957 1.3897 ],4.8970,0.0077,127,0.0001
83,-183.0331,[8.4794 -8.5710 ],[4.5846 -1.3146 ],4.7694,[-4.5846 1.3146 ],4.7694,0.0077,127,0.0001
84,-183.1674,[8.5149 -8.5812 ],[5.7295 -5.7471 ],8.1151,[-1.3240 4.4838 ],4.6752,0.0077,127,0.0001
85,-183.4217,[8.5592 -8.6257 ],[1.2525 -4.3777 ],4.5534,[-1.2525 4.3777 ],4.5534,0.0077,127,0.0001
86,-183.5441,[8.5689 -8.6596 ],[5.4850 -5.4681 ],7.7450,[-4.2815 1.2616 ],4.4635,0.0077,127,0.0001
87,-183.7757,[8.6114 -8.7019 ],[4.1801 -1.1933 ],4.3471,[-4.1801 1.1933 ],4.3471,0.0077,127,0.0001
88,-183.8872,[8.6438 -8.7111 ],[5.2187 -5.2348 ],7.3917,[-1.2021 4.0882 ],4.2612,0.0077,127,0.0001
89,-184.0981,[8.6841 -8.7517 ],[1.1370 -3.9914 ],4.1502,[-1.1370 3.9914 ],4.1502,0.0077,127,0.0001
90,-184.1997,[8.6930 -8.7826 ],[4.9961 -4.9806 ],7.0546,[-3.9036 1.1454 ],4.0681,0.0077,127,0.0001
91,-184.3918,[8.7316 -8.8211 ],[3.8111 -1.0834 ],3.9621,[-3.8111 1.0834 ],3.9621,0.0077,127,0.0001
92,-184.4843,[8.7611 -8.8295 ],[4.7534 -4.7683 ],6.7328,[-1.0915 3.7272 ],3.8838,0.0077,127,0.0001
93,-184.6593,[8.7979 -8.8664 ],[1.0324 -3.6389 ],3.7825,[-1.0324 3.6389 ],3.7825,0.0077,127,0.0001
94,-184.7436,[8.8059 -8.8946 ],[4.5508 -4.5366 ],6.4258,[-3.5588 1.0402 ],3.7077,0.0077,127,0.0001
95,-184.9030,[8.8411 -8.9297 ],[3.4745 -0.9838 ],3.6111,[-3.4745 0.9838 ],3.6111,0.0077,127,0.0001
96,-184.9798,[8.8680 -8.9373 ],[4.3296 -4.3433 ],6.1327,[-0.9913 3.3980 ],3.5396,0.0077,127,0.0001
97,-185.1250,[8.9016 -8.9709 ],[0.9375 -3.3175 ],3.4474,[-0.9375 3.3175 ],3.4474,0.0077,127,0.0001
98,-185.1949,[8.9088 -8.9966 ],[4.1452 -4.1321 ],5.8530,[-3.2444 0.9447 ],3.3792,0.0077,127,0.0001
99,-185.3272,[8.9409 -9.0286 ],[3.1675 -0.8935 ],3.2911,[-3.1675 0.8935 ],3.2911,0.0077,127,0.0001
100,-185.3909,[8.9654 -9.0355 ],[3.9437 -3.9562 ],5.5860,[-0.9004 3.0977 ],3.2259,0.0077,127,0.0001
101,-185.5113,[8.9960 -9.0661 ],[0.8515 -3.0243 ],3.1419,[-0.8515 3.0243 ],3.1419,0.0077,127,0.0001
102,-185.5693,[9.0026 -9.0896 ],[3.7758 -3.7638 ],5.3313,[-2.9576 0.8581 ],3.0796,0.0077,127,0.0001
103,-185.6791,[9.0318 -9.1187 ],[2.8875 -0.8116 ],2.9994,[-2.8875 0.8116 ],2.9994,0.0077,127,0.0001
